Time resolution is 1 ps
Time: 200, Phase: 00000000, Waveform Output: 00
Time: 205, Phase: 00000083, Waveform Output: 00
Time: 215, Phase: 00000106, Waveform Output: 01
Time: 225, Phase: 00000189, Waveform Output: 02
Time: 235, Phase: 0000020c, Waveform Output: 03
Time: 245, Phase: 0000028f, Waveform Output: 04
Time: 255, Phase: 00000312, Waveform Output: 05
Time: 265, Phase: 00000395, Waveform Output: 06
Time: 275, Phase: 00000418, Waveform Output: 07
Time: 285, Phase: 0000049b, Waveform Output: 08
Time: 295, Phase: 0000051e, Waveform Output: 09
Time: 305, Phase: 000005a1, Waveform Output: 0a
Time: 315, Phase: 00000624, Waveform Output: 0b
Time: 325, Phase: 000006a7, Waveform Output: 0c
Time: 335, Phase: 0000072a, Waveform Output: 0d
Time: 345, Phase: 000007ad, Waveform Output: 0e
Time: 355, Phase: 00000830, Waveform Output: 0f
Time: 365, Phase: 000008b3, Waveform Output: 10
Time: 375, Phase: 00000936, Waveform Output: 11
Time: 385, Phase: 000009b9, Waveform Output: 12
Time: 395, Phase: 00000a3c, Waveform Output: 13
Time: 405, Phase: 00000abf, Waveform Output: 14
Time: 415, Phase: 00000b42, Waveform Output: 15
Time: 425, Phase: 00000bc5, Waveform Output: 16
Time: 435, Phase: 00000c48, Waveform Output: 17
Time: 445, Phase: 00000ccb, Waveform Output: 18
Time: 455, Phase: 00000d4e, Waveform Output: 19
Time: 465, Phase: 00000dd1, Waveform Output: 1a
Time: 475, Phase: 00000e54, Waveform Output: 1b
Time: 485, Phase: 00000ed7, Waveform Output: 1c
Time: 495, Phase: 00000f5a, Waveform Output: 1d
Time: 505, Phase: 00000fdd, Waveform Output: 1e
Time: 515, Phase: 00001060, Waveform Output: 1f
Time: 525, Phase: 000010e3, Waveform Output: 20
Time: 535, Phase: 00001166, Waveform Output: 21
Time: 545, Phase: 000011e9, Waveform Output: 22
Time: 555, Phase: 0000126c, Waveform Output: 23
Time: 565, Phase: 000012ef, Waveform Output: 24
Time: 575, Phase: 00001372, Waveform Output: 25
Time: 585, Phase: 000013f5, Waveform Output: 26
Time: 595, Phase: 00001478, Waveform Output: 27
Time: 605, Phase: 000014fb, Waveform Output: 28
Time: 615, Phase: 0000157e, Waveform Output: 29
Time: 625, Phase: 00001601, Waveform Output: 2a
Time: 635, Phase: 00001684, Waveform Output: 2c
Time: 645, Phase: 00001707, Waveform Output: 2d
Time: 655, Phase: 0000178a, Waveform Output: 2e
Time: 665, Phase: 0000180d, Waveform Output: 2f
Time: 675, Phase: 00001890, Waveform Output: 30
Time: 685, Phase: 00001913, Waveform Output: 31
Time: 695, Phase: 00001996, Waveform Output: 32
Time: 705, Phase: 00001a19, Waveform Output: 33
Time: 715, Phase: 00001a9c, Waveform Output: 34
Time: 725, Phase: 00001b1f, Waveform Output: 35
Time: 735, Phase: 00001ba2, Waveform Output: 36
Time: 745, Phase: 00001c25, Waveform Output: 37
Time: 755, Phase: 00001ca8, Waveform Output: 38
Time: 765, Phase: 00001d2b, Waveform Output: 39
Time: 775, Phase: 00001dae, Waveform Output: 3a
Time: 785, Phase: 00001e31, Waveform Output: 3b
Time: 795, Phase: 00001eb4, Waveform Output: 3c
Time: 805, Phase: 00001f37, Waveform Output: 3d
Time: 815, Phase: 00001fba, Waveform Output: 3e
Time: 825, Phase: 0000203d, Waveform Output: 3f
Time: 835, Phase: 000020c0, Waveform Output: 40
Time: 845, Phase: 00002143, Waveform Output: 41
Time: 855, Phase: 000021c6, Waveform Output: 42
Time: 865, Phase: 00002249, Waveform Output: 43
Time: 875, Phase: 000022cc, Waveform Output: 44
Time: 885, Phase: 0000234f, Waveform Output: 45
Time: 895, Phase: 000023d2, Waveform Output: 46
Time: 905, Phase: 00002455, Waveform Output: 47
Time: 915, Phase: 000024d8, Waveform Output: 48
Time: 925, Phase: 0000255b, Waveform Output: 49
Time: 935, Phase: 000025de, Waveform Output: 4a
Time: 945, Phase: 00002661, Waveform Output: 4b
Time: 955, Phase: 000026e4, Waveform Output: 4c
Time: 965, Phase: 00002767, Waveform Output: 4d
Time: 975, Phase: 000027ea, Waveform Output: 4e
Time: 985, Phase: 0000286d, Waveform Output: 4f
Time: 995, Phase: 000028f0, Waveform Output: 50
