Time resolution is 1 ps
Time: 5000 | Freq:        440 | Phase Increment:          x | Phase Accumulator:          x | wav_out: xx
Time: 15000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 25000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 35000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 45000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 55000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 65000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 75000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 85000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 95000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 105000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 115000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 125000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 135000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 145000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 155000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 165000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 175000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 185000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 195000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 205000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 215000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 225000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 235000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 245000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 255000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 265000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 275000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 285000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 295000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 305000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 315000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 325000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 335000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 345000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 355000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 365000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:          x | wav_out: xx
Time: 375000 | Freq:        440 | Phase Increment:          0 | Phase Accumulator:     
